Well Position,Sample Name
A1,PCANN15_1
B1,PCANN15_2
C1,PCANN15_3
D1,PCANN15_4
E1,PCANN15_5
F1,PCANN15_6
G1,PCANN15_7
H1,PCANN15_8
A2,PCANN15_9
B2,PCANN15_53
C2,PCANN15_54
D2,PCANN15_55
E2,PCANN15_56
F2,PCANN15_57
G2,PCANN15_58
H2,PCANN15_59
A3,PCANN15_60
B3,PCANN15_61
C3,PCANN15_104
D3,PCANN15_105
E3,PCANN15_106
F3,PCANN15_107
G3,PCANN15_108
H3,PCANN15_109
A4,PCANN15_110
B4,PCANN15_111
C4,PCANN15_112
D4,PCANN15_154
E4,PCANN15_155
F4,PCANN15_156
G4,PCANN15_157
H4,PCANN15_158
A5,PCANN15_159
B5,PCANN15_160
C5,PCANN15_161
D5,PCANN15_162
E5,PVFDA15_1
F5,PVFDA15_2
G5,PVFDA15_3
H5,PVFDA15_4
A6,PVFDA15_5
B6,PVFDA15_6
C6,PVFDA15_7
D6,PVFDA15_8
E6,PVFDA15_9
F6,PVFDA15_51
G6,PVFDA15_52
H6,PVFDA15_53
A7,PVFDA15_54
B7,PVFDA15_55
C7,PVFDA15_56
D7,PVFDA15_57
E7,PVFDA15_58
F7,PVFDA15_59
G7,PVFDA15_101
H7,PVFDA15_102
A8,PVFDA15_103
B8,PVFDA15_104
C8,PVFDA15_105
D8,PVFDA15_106
E8,PVFDA15_107
F8,PVFDA15_108
G8,PVFDA15_109
H8,PVFDA15_152
A9,PVFDA15_153
B9,PVFDA15_154
C9,PVFDA15_155
D9,PVFDA15_156
E9,PVFDA15_157
F9,PVFDA15_158
G9,PVFDA15_159
H9,PVFDA15_160
A10,PDUCK14E_1
B10,PDUCK14E_2
C10,PDUCK14E_3
D10,PDUCK14E_4
E10,PDUCK14E_5
F10,PDUCK14E_6
G10,PDUCK14E_7
H10,PDUCK14E_8
A11,PDUCK14E_9
B11,PDUCK14E_10
C11,PDUCK14E_12
D11,PDUCK14E_13
E11,PDUCK14E_14
F11,PDUCK14E_15
G11,PDUCK14E_16
H11,PDUCK14E_17
A12,PDUCK14E_22
B12,PDUCK14E_23
C12,PDUCK14L_1
D12,PDUCK14L_2
E12,PDUCK14L_3
F12,PDUCK14L_4
G12,PDUCK14L_5
H12,NTC
