Well Position,Sample Name
A1,PERBE91T_56
B1,PERBE91T_57
C1,PERBE91T_58
D1,PERBE91T_59
E1,PERBL91T_1
F1,PERBL91T_2
G1,PERBL91T_3
H1,PERBL91T_4
A2,PERBL91T_5
B2,PERBL91T_6
C2,PERBL91T_7
D2,PERBL91T_8
E2,PERBL91T_9
F2,PERBL91T_51
G2,PERBL91T_52
H2,PERBL91T_53
A3,PERBL91T_54
B3,PERBL91T_55
C3,PERBL91T_56
D3,PERBL91T_57
E3,PERBL91T_58
F3,PERBL91T_59
G3,PGREG94_1
H3,PGREG94_2
A4,PGREG94_3
B4,PGREG94_4
C4,PGREG94_5
D4,PGREG94_6
E4,PGREG94_7
F4,PGREG94_8
G4,PGREG94_9
H4,PGREG94_10
A5,PGREG94_11
B5,PGREG94_12
C5,PGREG94_13
D5,PGREG94_14
E5,PGREG94_15
F5,PGREG94_16
G5,PGREG94_17
H5,PGREG94_18
A6,PGREG94_51
B6,PGREG94_52
C6,PGREG94_53
D6,PGREG94_54
E6,PGREG94_55
F6,PGREG94_56
G6,PGREG94_57
H6,PGREG94_58
A7,PGREG94_59
B7,PGREG94_60
C7,PGREG94_61
D7,PGREG94_62
E7,PGREG94_63
F7,PGREG94_64
G7,PGREG94_65
H7,PGREG94_66
A8,PGREG94_67
B8,PGREG94_68
C8,PDUCM91T_1
D8,PDUCM91T_2
E8,PDUCM91T_3
F8,PDUCM91T_4
G8,PDUCM91T_5
H8,PDUCM91T_6
A9,PDUCM91T_7
B9,PDUCM91T_8
C9,PDUCM91T_9
D9,PDUCM91T_10
E9,PDUCM91T_11
F9,PDUCM91T_12
G9,PDUCM91T_13
H9,PDUCM91T_14
A10,PDUCM91T_15
B10,PDUCM91T_16
C10,PDUCM91T_17
D10,PDUCM91T_18
E10,PDUCM91T_51
F10,PDUCM91T_52
G10,PDUCM91T_53
H10,PDUCM91T_54
A11,PDUCM91T_55
B11,PDUCM91T_56
C11,PDUCM91T_57
D11,PDUCM91T_58
E11,PDUCM91T_59
F11,PDUCM91T_60
G11,PDUCM91T_61
H11,PDUCM91T_62
A12,PDUCM91T_63
B12,PDUCM91T_64
C12,PDUCM91T_65
D12,PDUCM91T_66
E12,PDUCM91T_67
F12,PDUCM91T_68
G12,NTC
H12,NTC
