Collection ID,Fish ID,Freshwater Age,Ocean Age,Sex,Length,Weight,Scale Card Number,Scale Card Position,ASL Number
51300,1,,,M,,,,,
51300,2,,,M,,,,,
51300,3,,,M,,,,,
51300,4,,,M,,,,,
51300,5,,,M,,,,,
51300,6,,,M,,,,,
51300,7,,,M,,,,,
51300,8,,,F,,,,,
51300,9,,,F,,,,,
51300,10,,,M,,,,,
51300,11,,,M,,,,,
51300,12,,,F,,,,,
51300,13,,,M,,,,,
51300,14,,,M,,,,,
51300,15,,,F,,,,,
51300,16,,,M,,,,,
51300,17,,,M,,,,,
51300,18,,,F,,,,,
51300,19,,,M,,,,,
51300,20,,,M,,,,,
51300,21,,,M,,,,,
51300,22,,,M,,,,,
51300,23,,,M,,,,,
51300,24,,,M,,,,,
51300,25,,,M,,,,,
51300,26,,,M,,,,,
51300,27,,,M,,,,,
51300,28,,,M,,,,,
51300,29,,,M,,,,,
51300,30,,,M,,,,,
51300,31,,,M,,,,,
51300,32,,,M,,,,,
51300,33,,,M,,,,,
51300,34,,,F,,,,,
51300,35,,,M,,,,,
51300,36,,,M,,,,,
51300,37,,,F,,,,,
51300,38,,,M,,,,,
51300,39,,,M,,,,,
51300,40,,,M,,,,,
51300,41,,,M,,,,,
51300,42,,,M,,,,,
51300,43,,,M,,,,,
51300,44,,,M,,,,,
51300,45,,,M,,,,,
51300,46,,,M,,,,,
51300,47,,,M,,,,,
51300,48,,,M,,,,,
51300,49,,,M,,,,,
51300,50,,,F,,,,,
51300,51,,,F,,,,,
51300,52,,,F,,,,,
51300,53,,,M,,,,,
51300,54,,,M,,,,,
51300,55,,,M,,,,,
51300,56,,,F,,,,,
51300,57,,,M,,,,,
51300,58,,,F,,,,,
51300,59,,,F,,,,,
51300,60,,,F,,,,,
51300,61,,,M,,,,,
51300,62,,,F,,,,,
51300,63,,,M,,,,,
51300,64,,,M,,,,,
51300,65,,,M,,,,,
51300,66,,,M,,,,,
51300,67,,,M,,,,,
51300,68,,,M,,,,,
51300,69,,,M,,,,,
51300,70,,,M,,,,,
51300,71,,,M,,,,,
51300,72,,,F,,,,,
51300,73,,,F,,,,,
51300,74,,,M,,,,,
51300,75,,,M,,,,,
51300,76,,,M,,,,,
51300,77,,,M,,,,,
51300,78,,,F,,,,,
51300,79,,,M,,,,,
51300,80,,,M,,,,,
51300,81,,,M,,,,,
51300,82,,,F,,,,,
51300,83,,,M,,,,,
51300,84,,,M,,,,,
51300,85,,,M,,,,,
51300,86,,,F,,,,,
51300,87,,,M,,,,,
51300,88,,,M,,,,,
51300,89,,,F,,,,,
51300,90,,,M,,,,,
51300,91,,,M,,,,,
51300,92,,,M,,,,,
51300,93,,,M,,,,,
51300,94,,,F,,,,,
51300,95,,,F,,,,,
51300,96,,,M,,,,,
51300,97,,,M,,,,,
51300,98,,,M,,,,,
51300,99,,,F,,,,,
51300,100,,,F,,,,,
51300,101,,,F,,,,,
51300,102,,,M,,,,,
51300,103,,,M,,,,,
51300,104,,,M,,,,,
51300,105,,,M,,,,,
51300,106,,,F,,,,,
51300,107,,,M,,,,,
51300,108,,,M,,,,,
51300,109,,,M,,,,,
51300,110,,,F,,,,,
51300,111,,,M,,,,,
51300,112,,,M,,,,,
51300,113,,,M,,,,,
51300,114,,,M,,,,,
51300,115,,,F,,,,,
51300,116,,,M,,,,,
51300,117,,,M,,,,,
51300,118,,,M,,,,,
51300,119,,,M,,,,,
51300,120,,,F,,,,,
51300,121,,,F,,,,,
51300,122,,,M,,,,,
51300,123,,,M,,,,,
51300,124,,,M,,,,,
51300,125,,,M,,,,,
51300,126,,,M,,,,,
51300,127,,,M,,,,,
51300,128,,,M,,,,,
51300,129,,,F,,,,,
51300,130,,,M,,,,,
51300,131,,,M,,,,,
51300,132,,,F,,,,,
51300,133,,,F,,,,,
51300,134,,,F,,,,,
51300,135,,,M,,,,,
51300,136,,,M,,,,,
51300,137,,,M,,,,,
51300,138,,,M,,,,,
51300,139,,,M,,,,,
51300,140,,,M,,,,,
51300,141,,,F,,,,,
51300,142,,,F,,,,,
51300,143,,,M,,,,,
51300,144,,,M,,,,,
51300,145,,,F,,,,,
51300,146,,,M,,,,,
51300,147,,,M,,,,,
51300,148,,,M,,,,,
51300,149,,,F,,,,,
51300,150,,,M,,,,,
51300,151,,,M,,,,,
51300,152,,,F,,,,,
