Collection ID,Fish ID,Freshwater Age,Ocean Age,Sex,Length,Weight,Scale Card Number,Scale Card Position,ASL Number
52497,1,,,M,,,,,
52497,2,,,F,,,,,
52497,3,,,F,,,,,
52497,4,,,M,,,,,
52497,5,,,M,,,,,
52497,6,,,F,,,,,
52497,7,,,F,,,,,
52497,8,,,F,,,,,
52497,9,,,F,,,,,
52497,10,,,M,,,,,
52497,11,,,M,,,,,
52497,12,,,M,,,,,
52497,13,,,F,,,,,
52497,14,,,F,,,,,
52497,15,,,F,,,,,
52497,16,,,F,,,,,
52497,17,,,M,,,,,
52497,18,,,M,,,,,
52497,19,,,M,,,,,
52497,20,,,F,,,,,
52497,21,,,F,,,,,
52497,22,,,M,,,,,
52497,23,,,M,,,,,
52497,24,,,F,,,,,
52497,25,,,F,,,,,
52497,26,,,M,,,,,
52497,27,,,F,,,,,
52497,28,,,M,,,,,
52497,29,,,M,,,,,
52497,30,,,F,,,,,
52497,31,,,F,,,,,
52497,32,,,M,,,,,
52497,33,,,F,,,,,
52497,34,,,M,,,,,
52497,35,,,F,,,,,
52497,36,,,M,,,,,
52497,37,,,M,,,,,
52497,38,,,M,,,,,
52497,39,,,F,,,,,
52497,40,,,M,,,,,
52497,41,,,F,,,,,
52497,42,,,F,,,,,
52497,43,,,F,,,,,
52497,44,,,M,,,,,
52497,45,,,F,,,,,
52497,46,,,M,,,,,
52497,47,,,F,,,,,
52497,48,,,F,,,,,
52497,49,,,M,,,,,
52497,50,,,M,,,,,
52497,51,,,F,,,,,
52497,52,,,F,,,,,
52497,53,,,M,,,,,
52497,54,,,F,,,,,
52497,55,,,M,,,,,
52497,56,,,M,,,,,
52497,57,,,F,,,,,
52497,58,,,F,,,,,
52497,59,,,M,,,,,
52497,60,,,F,,,,,
52497,61,,,F,,,,,
52497,62,,,F,,,,,
52497,63,,,F,,,,,
52497,64,,,M,,,,,
52497,65,,,F,,,,,
52497,66,,,F,,,,,
52497,67,,,M,,,,,
52497,68,,,F,,,,,
52497,69,,,F,,,,,
52497,70,,,F,,,,,
52497,71,,,F,,,,,
52497,72,,,F,,,,,
52497,73,,,F,,,,,
52497,74,,,F,,,,,
52497,75,,,F,,,,,
52497,76,,,F,,,,,
52497,77,,,F,,,,,
52497,78,,,F,,,,,
52497,79,,,F,,,,,
52497,80,,,M,,,,,
52497,81,,,F,,,,,
52497,82,,,F,,,,,
52497,83,,,M,,,,,
52497,84,,,M,,,,,
52497,85,,,M,,,,,
52497,86,,,F,,,,,
52497,87,,,M,,,,,
52497,88,,,M,,,,,
52497,89,,,M,,,,,
52497,90,,,F,,,,,
52497,91,,,F,,,,,
52497,92,,,F,,,,,
52497,93,,,M,,,,,
52497,94,,,F,,,,,
52497,95,,,F,,,,,
52497,96,,,M,,,,,
52497,97,,,F,,,,,
52497,98,,,F,,,,,
52497,99,,,M,,,,,
52497,100,,,M,,,,,
52497,101,,,F,,,,,
52497,102,,,F,,,,,
52497,103,,,M,,,,,
52497,104,,,F,,,,,
52497,105,,,F,,,,,
52497,106,,,F,,,,,
52497,107,,,F,,,,,
52497,108,,,F,,,,,
52497,109,,,F,,,,,
52497,110,,,F,,,,,
52497,111,,,M,,,,,
52497,112,,,M,,,,,
52497,113,,,F,,,,,
52497,114,,,M,,,,,
52497,115,,,F,,,,,
52497,116,,,M,,,,,
52497,117,,,F,,,,,
52497,118,,,M,,,,,
52497,119,,,F,,,,,
52497,120,,,F,,,,,
52497,121,,,F,,,,,
52497,122,,,F,,,,,
52497,123,,,F,,,,,
52497,124,,,F,,,,,
52497,125,,,F,,,,,
52497,126,,,F,,,,,
52497,127,,,F,,,,,
52497,128,,,M,,,,,
52497,129,,,F,,,,,
52497,130,,,F,,,,,
52497,131,,,M,,,,,
