Silly Code,FK_COLLECTION_ID,FK_FISH_ID,PK_TISSUE_TYPE,CAPTURE_LOCATION,CAPTURE_DATE,END_CAPTURE_DATE,LATITUDE,LONGITUDE,MESH_SIZE,MESH_SIZE_COMMENT,IS_MISSING_PAIRED_DATA_EXISTS,WELL_HAS_MORE_THAN_ONE_SAMPLE,IS_PRESENT_IN_DATASHEET,IS_PRESENT_BUT_NOT_IN_DS,VIAL_BARCODE,CONTAINER_ARRAY_TYPE_ID,DNA_TRAY_WORKBENCH_ID,DNA_TRAY_CODE,DNA_TRAY_WELL_POS,DNA_TRAY_WELL_CODE,STORAGE_ID,UNIT,SHELF_RACK,SLOT,EXHAUSTED_HOW,EXHAUSTED_BY,EXHAUSTED_DATE,AGENCY,OTHER_AGENCY_KEY,NUM_OTOLITHS_MISSING,OTO_INVENTORY_COMMENT
PAFK91H,2603,1,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,2,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,3,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,4,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,5,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,6,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,7,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,8,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,9,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,10,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,11,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
