FK_COLLECTION_ID,SILLY_CODE,FK_FISH_ID,PK_TISSUE_TYPE,CAPTURE_LOCATION,CAPTURE_DATE,VIAL_BARCODE,EXHAUSTED_HOW,EXHAUSTED_BY,EXHAUSTED_DATE,STORAGE_ID,UNIT,SHELF_RACK,SLOT,END_CAPTURE_DATE,MESH_SIZE,MESH_SIZE_COMMENT,LATITUDE,LONGITUDE,AGENCY,DNA_TRAY_CODE,DNA_TRAY_WELL_CODE,DNA_TRAY_WELL_POS,REGION_CODE,QUADRANT,LOCATION_CODE,LIFE_STAGE,IS_MISSING_PAIRED_DATA_EXISTS,DNA_TRAY_WORKBENCH_ID,COLLECTION_DATE,IS_PRESENT_IN_DATASHEET,WELL_HAS_MORE_THAN_ONE_SAMPLE,IS_PRESENT_BUT_NOT_IN_DS,OTHER_AGENCY_KEY,NUM_OTOLITHS_MISSING,OTO_INVENTORY_COMMENT,COLLECTION_TYPE,LOCATION_DESCRIPTOR,CONTAINER_ARRAY_TYPE,CONTAINER_ARRAY_TYPE_ID,IS_SAMPLE_ID_CONCATENATED,TARGET_DNA_TRAY_CODE,TARGET_DNA_TRAY_WELL_POS,TARGET_CONTAINER_ARRAY_TYPE_ID,TARGET_CONTAINER_ARRAY_TYPE,DETERMINATION_COLLECTION_ID,DETERMINATION_SILLY_CODE
51300,PDUCK13,1,Axillary Process,Duck River,2013-08-18 00:00:00,NA,NA,NA,NA,0000019216,V,2,K,2013-08-18 00:00:00,NA,NA,NA,NA,NA,1300001973,1,A1,Southcentral Alaska,PWS - East,Duck River,Adult,NA,NA,2013-08-18 00:00:00,NA,NA,NA,NA,NA,NA,Baseline,PopStructure,NA,NA,NA,NA,NA,NA,NA,NA,NA
51300,PDUCK13,1,Otolith,Duck River,2013-08-18 00:00:00,NA,Exported,Wei Cheng,2013-11-08 00:00:00,NA,NA,NA,NA,2013-08-18 00:00:00,NA,NA,0,0,NA,1300001973,1,A1,Southcentral Alaska,PWS - East,Duck River,Adult,0,NA,2013-08-18 00:00:00,0,0,0,NA,0,NA,Baseline,PopStructure,NA,NA,NA,NA,NA,NA,NA,NA,NA
51300,PDUCK13,2,Axillary Process,Duck River,2013-08-18 00:00:00,NA,NA,NA,NA,0000019216,V,2,K,2013-08-18 00:00:00,NA,NA,NA,NA,NA,1300001973,2,B1,Southcentral Alaska,PWS - East,Duck River,Adult,NA,NA,2013-08-18 00:00:00,NA,NA,NA,NA,NA,NA,Baseline,PopStructure,NA,NA,NA,NA,NA,NA,NA,NA,NA
51300,PDUCK13,2,Otolith,Duck River,2013-08-18 00:00:00,NA,Exported,Wei Cheng,2013-11-08 00:00:00,NA,NA,NA,NA,2013-08-18 00:00:00,NA,NA,0,0,NA,1300001973,2,B1,Southcentral Alaska,PWS - East,Duck River,Adult,0,NA,2013-08-18 00:00:00,0,0,0,NA,0,NA,Baseline,PopStructure,NA,NA,NA,NA,NA,NA,NA,NA,NA
51300,PDUCK13,3,Axillary Process,Duck River,2013-08-18 00:00:00,NA,NA,NA,NA,0000019216,V,2,K,2013-08-18 00:00:00,NA,NA,NA,NA,NA,1300001973,3,C1,Southcentral Alaska,PWS - East,Duck River,Adult,NA,NA,2013-08-18 00:00:00,NA,NA,NA,NA,NA,NA,Baseline,PopStructure,NA,NA,NA,NA,NA,NA,NA,NA,NA
51300,PDUCK13,3,Otolith,Duck River,2013-08-18 00:00:00,NA,Exported,Wei Cheng,2013-11-08 00:00:00,NA,NA,NA,NA,2013-08-18 00:00:00,NA,NA,0,0,NA,1300001973,3,C1,Southcentral Alaska,PWS - East,Duck River,Adult,0,NA,2013-08-18 00:00:00,0,0,0,NA,0,NA,Baseline,PopStructure,NA,NA,NA,NA,NA,NA,NA,NA,NA
51300,PDUCK13,4,Axillary Process,Duck River,2013-08-18 00:00:00,NA,NA,NA,NA,0000019216,V,2,K,2013-08-18 00:00:00,NA,NA,NA,NA,NA,1300001973,4,D1,Southcentral Alaska,PWS - East,Duck River,Adult,NA,NA,2013-08-18 00:00:00,NA,NA,NA,NA,NA,NA,Baseline,PopStructure,NA,NA,NA,NA,NA,NA,NA,NA,NA
51300,PDUCK13,4,Otolith,Duck River,2013-08-18 00:00:00,NA,Exported,Wei Cheng,2013-11-08 00:00:00,NA,NA,NA,NA,2013-08-18 00:00:00,NA,NA,0,0,NA,1300001973,4,D1,Southcentral Alaska,PWS - East,Duck River,Adult,0,NA,2013-08-18 00:00:00,0,0,0,NA,0,NA,Baseline,PopStructure,NA,NA,NA,NA,NA,NA,NA,NA,NA
51300,PDUCK13,5,Axillary Process,Duck River,2013-08-18 00:00:00,NA,NA,NA,NA,0000019216,V,2,K,2013-08-18 00:00:00,NA,NA,NA,NA,NA,1300001973,5,E1,Southcentral Alaska,PWS - East,Duck River,Adult,NA,NA,2013-08-18 00:00:00,NA,NA,NA,NA,NA,NA,Baseline,PopStructure,NA,NA,NA,NA,NA,NA,NA,NA,NA
51300,PDUCK13,5,Otolith,Duck River,2013-08-18 00:00:00,NA,Exported,Wei Cheng,2013-11-08 00:00:00,NA,NA,NA,NA,2013-08-18 00:00:00,NA,NA,0,0,NA,1300001973,5,E1,Southcentral Alaska,PWS - East,Duck River,Adult,0,NA,2013-08-18 00:00:00,0,0,0,NA,0,NA,Baseline,PopStructure,NA,NA,NA,NA,NA,NA,NA,NA,NA
