FK_COLLECTION_ID,SILLY_CODE,FK_FISH_ID,PK_TISSUE_TYPE,CAPTURE_LOCATION,CAPTURE_DATE,VIAL_BARCODE,EXHAUSTED_HOW,EXHAUSTED_BY,EXHAUSTED_DATE,STORAGE_ID,UNIT,SHELF_RACK,SLOT,END_CAPTURE_DATE,MESH_SIZE,MESH_SIZE_COMMENT,LATITUDE,LONGITUDE,AGENCY,DNA_TRAY_CODE,DNA_TRAY_WELL_CODE,DNA_TRAY_WELL_POS,REGION_CODE,QUADRANT,LOCATION_CODE,LIFE_STAGE,IS_MISSING_PAIRED_DATA_EXISTS,DNA_TRAY_WORKBENCH_ID,COLLECTION_DATE,IS_PRESENT_IN_DATASHEET,WELL_HAS_MORE_THAN_ONE_SAMPLE,IS_PRESENT_BUT_NOT_IN_DS,OTHER_AGENCY_KEY,NUM_OTOLITHS_MISSING,OTO_INVENTORY_COMMENT,COLLECTION_TYPE,LOCATION_DESCRIPTOR,CONTAINER_ARRAY_TYPE,CONTAINER_ARRAY_TYPE_ID,IS_SAMPLE_ID_CONCATENATED,TARGET_DNA_TRAY_CODE,TARGET_DNA_TRAY_WELL_POS,TARGET_CONTAINER_ARRAY_TYPE_ID,TARGET_CONTAINER_ARRAY_TYPE,DETERMINATION_COLLECTION_ID,DETERMINATION_SILLY_CODE
53933,PERB17,1,Heart-bulbus arteriosus,Erb C,2017-08-08 00:00:00,NA,NA,NA,NA,NA,WJ,20,7,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,1,A1,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,1,Otolith,Erb C,2017-08-08 00:00:00,NA,Exported,Zachary Pechacek,2017-11-08 00:00:00,NA,NA,NA,NA,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,1,A1,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,2,Heart-bulbus arteriosus,Erb C,2017-08-08 00:00:00,NA,NA,NA,NA,NA,WJ,20,7,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,2,B1,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,2,Otolith,Erb C,2017-08-08 00:00:00,NA,Exported,Zachary Pechacek,2017-11-08 00:00:00,NA,NA,NA,NA,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,2,B1,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,3,Heart-bulbus arteriosus,Erb C,2017-08-08 00:00:00,NA,NA,NA,NA,NA,WJ,20,7,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,3,C1,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,3,Otolith,Erb C,2017-08-08 00:00:00,NA,Exported,Zachary Pechacek,2017-11-08 00:00:00,NA,NA,NA,NA,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,3,C1,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,4,Heart-bulbus arteriosus,Erb C,2017-08-08 00:00:00,NA,NA,NA,NA,NA,WJ,20,7,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,4,D1,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,4,Otolith,Erb C,2017-08-08 00:00:00,NA,Exported,Zachary Pechacek,2017-11-08 00:00:00,NA,NA,NA,NA,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,4,D1,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,5,Heart-bulbus arteriosus,Erb C,2017-08-08 00:00:00,NA,NA,NA,NA,NA,WJ,20,7,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,5,E1,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,5,Otolith,Erb C,2017-08-08 00:00:00,NA,Exported,Zachary Pechacek,2017-11-08 00:00:00,NA,NA,NA,NA,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,5,E1,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,6,Heart-bulbus arteriosus,Erb C,2017-08-08 00:00:00,NA,NA,NA,NA,NA,WJ,20,7,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,6,F1,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,6,Otolith,Erb C,2017-08-08 00:00:00,NA,Exported,Zachary Pechacek,2017-11-08 00:00:00,NA,NA,NA,NA,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,6,F1,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,7,Heart-bulbus arteriosus,Erb C,2017-08-08 00:00:00,NA,NA,NA,NA,NA,WJ,20,7,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,7,G1,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,7,Otolith,Erb C,2017-08-08 00:00:00,NA,Exported,Zachary Pechacek,2017-11-08 00:00:00,NA,NA,NA,NA,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,7,G1,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,8,Heart-bulbus arteriosus,Erb C,2017-08-08 00:00:00,NA,NA,NA,NA,NA,WJ,20,7,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,8,H1,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,8,Otolith,Erb C,2017-08-08 00:00:00,NA,Exported,Zachary Pechacek,2017-11-08 00:00:00,NA,NA,NA,NA,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,8,H1,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,9,Heart-bulbus arteriosus,Erb C,2017-08-08 00:00:00,NA,NA,NA,NA,NA,WJ,20,7,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,9,A2,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,9,Otolith,Erb C,2017-08-08 00:00:00,NA,Exported,Zachary Pechacek,2017-11-08 00:00:00,NA,NA,NA,NA,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,9,A2,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,10,Heart-bulbus arteriosus,Erb C,2017-08-08 00:00:00,NA,NA,NA,NA,NA,WJ,20,7,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,10,B2,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,10,Otolith,Erb C,2017-08-08 00:00:00,NA,Exported,Zachary Pechacek,2017-11-08 00:00:00,NA,NA,NA,NA,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,10,B2,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,11,Heart-bulbus arteriosus,Erb C,2017-08-08 00:00:00,NA,NA,NA,NA,NA,WJ,20,7,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,11,C2,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
53933,PERB17,11,Otolith,Erb C,2017-08-08 00:00:00,NA,Exported,Zachary Pechacek,2017-11-08 00:00:00,NA,NA,NA,NA,2017-08-08 00:00:00,NA,NA,0,0,NA,0000021870,11,C2,Southcentral Alaska,PWS - West,Erb Creek,Adult,0,1,NA,0,0,0,NA,0,NA,Baseline,Pedigree Study,DWP48,2,NA,NA,NA,NA,NA,NA,NA
