Lab Project ID,Plate ID,Silly Code,Fish,Well,Tissue Type
2666,63213,PCANN15,1,A1,Axillary Process
2666,63213,PCANN15,2,B1,Axillary Process
2666,63213,PCANN15,3,C1,Axillary Process
2666,63213,PCANN15,4,D1,Axillary Process
2666,63213,PCANN15,5,E1,Axillary Process
2666,63213,PCANN15,6,F1,Axillary Process
2666,63213,PCANN15,7,G1,Axillary Process
2666,63213,PCANN15,8,H1,Axillary Process
2666,63213,PCANN15,9,A2,Axillary Process
2666,63213,PCANN15,53,B2,Axillary Process
2666,63213,PCANN15,54,C2,Axillary Process
2666,63213,PCANN15,55,D2,Axillary Process
2666,63213,PCANN15,56,E2,Axillary Process
2666,63213,PCANN15,57,F2,Axillary Process
2666,63213,PCANN15,58,G2,Axillary Process
2666,63213,PCANN15,59,H2,Axillary Process
2666,63213,PCANN15,60,A3,Axillary Process
2666,63213,PCANN15,61,B3,Axillary Process
2666,63213,PCANN15,104,C3,Axillary Process
2666,63213,PCANN15,105,D3,Axillary Process
2666,63213,PCANN15,106,E3,Axillary Process
2666,63213,PCANN15,107,F3,Axillary Process
2666,63213,PCANN15,108,G3,Axillary Process
2666,63213,PCANN15,109,H3,Axillary Process
2666,63213,PCANN15,110,A4,Axillary Process
2666,63213,PCANN15,111,B4,Axillary Process
2666,63213,PCANN15,112,C4,Axillary Process
2666,63213,PCANN15,154,D4,Axillary Process
2666,63213,PCANN15,155,E4,Axillary Process
2666,63213,PCANN15,156,F4,Axillary Process
2666,63213,PCANN15,157,G4,Axillary Process
2666,63213,PCANN15,158,H4,Axillary Process
2666,63213,PCANN15,159,A5,Axillary Process
2666,63213,PCANN15,160,B5,Axillary Process
2666,63213,PCANN15,161,C5,Axillary Process
2666,63213,PCANN15,162,D5,Axillary Process
2666,63213,PDUCK14E,1,A10,Axillary Process
2666,63213,PDUCK14E,2,B10,Axillary Process
2666,63213,PDUCK14E,3,C10,Axillary Process
2666,63213,PDUCK14E,4,D10,Axillary Process
2666,63213,PDUCK14E,5,E10,Axillary Process
2666,63213,PDUCK14E,6,F10,Axillary Process
2666,63213,PDUCK14E,7,G10,Axillary Process
2666,63213,PDUCK14E,8,H10,Axillary Process
2666,63213,PDUCK14E,9,A11,Axillary Process
2666,63213,PDUCK14E,10,B11,Axillary Process
2666,63213,PDUCK14E,12,C11,Axillary Process
2666,63213,PDUCK14E,13,D11,Axillary Process
2666,63213,PDUCK14E,14,E11,Axillary Process
2666,63213,PDUCK14E,15,F11,Axillary Process
2666,63213,PDUCK14E,16,G11,Axillary Process
2666,63213,PDUCK14E,17,H11,Axillary Process
2666,63213,PDUCK14E,22,A12,Axillary Process
2666,63213,PDUCK14E,23,B12,Axillary Process
2666,63213,PDUCK14L,1,C12,Heart
2666,63213,PDUCK14L,2,D12,Heart
2666,63213,PDUCK14L,3,E12,Heart
2666,63213,PDUCK14L,4,F12,Heart
2666,63213,PDUCK14L,5,G12,Heart
2666,63213,PVFDA15,1,E5,Axillary Process
2666,63213,PVFDA15,2,F5,Axillary Process
2666,63213,PVFDA15,3,G5,Axillary Process
2666,63213,PVFDA15,4,H5,Axillary Process
2666,63213,PVFDA15,5,A6,Axillary Process
2666,63213,PVFDA15,6,B6,Axillary Process
2666,63213,PVFDA15,7,C6,Axillary Process
2666,63213,PVFDA15,8,D6,Axillary Process
2666,63213,PVFDA15,9,E6,Axillary Process
2666,63213,PVFDA15,51,F6,Axillary Process
2666,63213,PVFDA15,52,G6,Axillary Process
2666,63213,PVFDA15,53,H6,Axillary Process
2666,63213,PVFDA15,54,A7,Axillary Process
2666,63213,PVFDA15,55,B7,Axillary Process
2666,63213,PVFDA15,56,C7,Axillary Process
2666,63213,PVFDA15,57,D7,Axillary Process
2666,63213,PVFDA15,58,E7,Axillary Process
2666,63213,PVFDA15,59,F7,Axillary Process
2666,63213,PVFDA15,101,G7,Axillary Process
2666,63213,PVFDA15,102,H7,Axillary Process
2666,63213,PVFDA15,103,A8,Axillary Process
2666,63213,PVFDA15,104,B8,Axillary Process
2666,63213,PVFDA15,105,C8,Axillary Process
2666,63213,PVFDA15,106,D8,Axillary Process
2666,63213,PVFDA15,107,E8,Axillary Process
2666,63213,PVFDA15,108,F8,Axillary Process
2666,63213,PVFDA15,109,G8,Axillary Process
2666,63213,PVFDA15,152,H8,Axillary Process
2666,63213,PVFDA15,153,A9,Axillary Process
2666,63213,PVFDA15,154,B9,Axillary Process
2666,63213,PVFDA15,155,C9,Axillary Process
2666,63213,PVFDA15,156,D9,Axillary Process
2666,63213,PVFDA15,157,E9,Axillary Process
2666,63213,PVFDA15,158,F9,Axillary Process
2666,63213,PVFDA15,159,G9,Axillary Process
2666,63213,PVFDA15,160,H9,Axillary Process
2666,63214,PDUCK13,1,F11,Axillary Process
2666,63214,PDUCK13,2,G11,Axillary Process
2666,63214,PDUCK13,3,H11,Axillary Process
2666,63214,PDUCK13,4,A12,Axillary Process
2666,63214,PDUCK13,5,B12,Axillary Process
2666,63214,PDUCK13,6,C12,Axillary Process
2666,63214,PDUCK13,7,D12,Axillary Process
2666,63214,PDUCK13,8,E12,Axillary Process
2666,63214,PDUCK13,9,F12,Axillary Process
2666,63214,PDUCK13,10,G12,Axillary Process
2666,63214,PDUCK14L,6,A1,Heart
2666,63214,PDUCK14L,7,B1,Heart
2666,63214,PDUCK14L,8,C1,Heart
2666,63214,PDUCK14L,9,D1,Heart
2666,63214,PDUCK14L,37,E1,Heart
2666,63214,PDUCK14L,38,F1,Heart
2666,63214,PDUCK14L,39,G1,Heart
2666,63214,PDUCK14L,40,H1,Heart
2666,63214,PDUCK14L,41,A2,Heart
2666,63214,PDUCK14L,42,B2,Heart
2666,63214,PDUCK14L,43,C2,Heart
2666,63214,PDUCK14L,44,D2,Heart
2666,63214,PDUCK14L,45,E2,Heart
2666,63214,PERB17,3,F2,Heart-bulbus arteriosus
2666,63214,PERB17,4,G2,Heart-bulbus arteriosus
2666,63214,PERB17,23,H2,Heart-bulbus arteriosus
2666,63214,PERB17,33,A3,Heart-bulbus arteriosus
2666,63214,PERB17,45,B3,Heart-bulbus arteriosus
2666,63214,PERB17,64,C3,Heart-bulbus arteriosus
2666,63214,PERB17,110,D3,Heart-bulbus arteriosus
2666,63214,PERB17,111,E3,Heart-bulbus arteriosus
2666,63214,PERB17,113,F3,Heart-bulbus arteriosus
2666,63214,PERB17,123,G3,Heart-bulbus arteriosus
2666,63214,PERB17,127,H3,Heart-bulbus arteriosus
2666,63214,PERB17,136,A4,Heart-bulbus arteriosus
2666,63214,PERB17,138,B4,Heart-bulbus arteriosus
2666,63214,PERB17,148,C4,Heart-bulbus arteriosus
2666,63214,PERB17,151,D4,Heart-bulbus arteriosus
2666,63214,PERB17,187,E4,Heart-bulbus arteriosus
2666,63214,PERB17,217,F4,Heart-bulbus arteriosus
2666,63214,PERB17,220,G4,Heart-bulbus arteriosus
2666,63214,PERB17,231,H4,Heart-bulbus arteriosus
2666,63214,PERB17,234,A5,Heart-bulbus arteriosus
2666,63214,PERB17,245,B5,Heart-bulbus arteriosus
2666,63214,PERB17,257,C5,Heart-bulbus arteriosus
2666,63214,PERB17,263,D5,Heart-bulbus arteriosus
2666,63214,PERB17,271,E5,Heart-bulbus arteriosus
2666,63214,PERB17,272,F5,Heart-bulbus arteriosus
2666,63214,PERB17,282,G5,Heart-bulbus arteriosus
2666,63214,PERB17,295,H5,Heart-bulbus arteriosus
2666,63214,PERB17,318,A6,Heart-bulbus arteriosus
2666,63214,PERB17,324,B6,Heart-bulbus arteriosus
2666,63214,PERB17,347,C6,Heart-bulbus arteriosus
2666,63214,PERB17,357,D6,Heart-bulbus arteriosus
2666,63214,PERB17,365,E6,Heart-bulbus arteriosus
2666,63214,PERB17,372,F6,Heart-bulbus arteriosus
2666,63214,PERB17,381,G6,Heart-bulbus arteriosus
2666,63214,PERB17,383,H6,Heart-bulbus arteriosus
2666,63214,PERB17,384,A7,Heart-bulbus arteriosus
