COLLECTION_ID,SILLY_CODE,FISH_ID,SAMPLE_DATE,SEX,LENGTH_MM,TISSUE_TYPE,DNA_TRAY_CODE,DNA_TRAY_WELL_CODE,LOCATION_CODE,SAMPLE_ID,OTOLITH_MARK_PRESENT,OTOLITH_MARK_ID,OTOLITH_MARK_STATUS_CODE,SAMPLE_YEAR,IS_MISSING_PAIRED_DATA_EXISTS,WELL_HAS_MORE_THAN_ONE_SAMPLE,TARGET_DNA_TRAY_CODE,TARGET_DNA_TRAY_WELL_POS,TARGET_CONTAINER_ARRAY_TYPE_ID,CONTAINER_ARRAY_TYPE,DETERMINATION_COLLECTION_ID
52888,PSPRIN14,1,2014-08-06 00:00:00,M,460,Heart-bulbus arteriosus,1300001612,1,Spring Creek,52888_1,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,1,2014-08-06 00:00:00,M,460,Otolith,1300001612,1,Spring Creek,52888_1,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,2,2014-08-06 00:00:00,M,NA,Heart-bulbus arteriosus,1300001612,2,Spring Creek,52888_2,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,2,2014-08-06 00:00:00,M,NA,Otolith,1300001612,2,Spring Creek,52888_2,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,3,2014-08-06 00:00:00,M,NA,Heart-bulbus arteriosus,1300001612,3,Spring Creek,52888_3,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,3,2014-08-06 00:00:00,M,NA,Otolith,1300001612,3,Spring Creek,52888_3,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,4,2014-08-06 00:00:00,M,NA,Heart-bulbus arteriosus,1300001612,4,Spring Creek,52888_4,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,4,2014-08-06 00:00:00,M,NA,Otolith,1300001612,4,Spring Creek,52888_4,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,5,2014-08-06 00:00:00,F,NA,Heart-bulbus arteriosus,1300001612,5,Spring Creek,52888_5,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,5,2014-08-06 00:00:00,F,NA,Otolith,1300001612,5,Spring Creek,52888_5,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,6,2014-08-06 00:00:00,F,NA,Heart-bulbus arteriosus,1300001612,6,Spring Creek,52888_6,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,6,2014-08-06 00:00:00,F,NA,Otolith,1300001612,6,Spring Creek,52888_6,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,7,2014-08-06 00:00:00,M,NA,Heart-bulbus arteriosus,1300001612,7,Spring Creek,52888_7,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,7,2014-08-06 00:00:00,M,NA,Otolith,1300001612,7,Spring Creek,52888_7,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,49,2014-08-03 00:00:00,M,410,Heart-bulbus arteriosus,1300001613,1,Spring Creek,52888_49,NA,NA,4N22,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,49,2014-08-03 00:00:00,M,410,Otolith,1300001613,1,Spring Creek,52888_49,NA,NA,4N22,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,50,2014-08-03 00:00:00,F,415,Heart-bulbus arteriosus,1300001613,2,Spring Creek,52888_50,YES,SGH12,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,50,2014-08-03 00:00:00,F,415,Otolith,1300001613,2,Spring Creek,52888_50,YES,SGH12,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,51,2014-08-03 00:00:00,M,NA,Heart-bulbus arteriosus,1300001613,3,Spring Creek,52888_51,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,51,2014-08-03 00:00:00,M,NA,Otolith,1300001613,3,Spring Creek,52888_51,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,52,2014-08-03 00:00:00,M,455,Heart-bulbus arteriosus,1300001613,4,Spring Creek,52888_52,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,52,2014-08-03 00:00:00,M,455,Otolith,1300001613,4,Spring Creek,52888_52,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,53,2014-08-03 00:00:00,F,NA,Heart-bulbus arteriosus,1300001613,5,Spring Creek,52888_53,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,53,2014-08-03 00:00:00,F,NA,Otolith,1300001613,5,Spring Creek,52888_53,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,54,2014-08-03 00:00:00,F,NA,Heart-bulbus arteriosus,1300001613,6,Spring Creek,52888_54,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,54,2014-08-03 00:00:00,F,NA,Otolith,1300001613,6,Spring Creek,52888_54,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,55,2014-08-03 00:00:00,F,NA,Heart-bulbus arteriosus,1300001613,7,Spring Creek,52888_55,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,55,2014-08-03 00:00:00,F,NA,Otolith,1300001613,7,Spring Creek,52888_55,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,56,2014-08-03 00:00:00,M,NA,Heart-bulbus arteriosus,1300001613,8,Spring Creek,52888_56,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,56,2014-08-03 00:00:00,M,NA,Otolith,1300001613,8,Spring Creek,52888_56,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,97,2014-08-28 00:00:00,F,433,Heart-bulbus arteriosus,1400000762,1,Spring Creek,52888_97,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,97,2014-08-28 00:00:00,F,433,Otolith,1400000762,1,Spring Creek,52888_97,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,98,2014-08-28 00:00:00,M,443,Heart-bulbus arteriosus,1400000762,2,Spring Creek,52888_98,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,98,2014-08-28 00:00:00,M,443,Otolith,1400000762,2,Spring Creek,52888_98,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,99,2014-08-28 00:00:00,F,NA,Heart-bulbus arteriosus,1400000762,3,Spring Creek,52888_99,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,99,2014-08-28 00:00:00,F,NA,Otolith,1400000762,3,Spring Creek,52888_99,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,100,2014-08-28 00:00:00,M,NA,Heart-bulbus arteriosus,1400000762,4,Spring Creek,52888_100,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,100,2014-08-28 00:00:00,M,NA,Otolith,1400000762,4,Spring Creek,52888_100,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,101,2014-08-28 00:00:00,M,NA,Heart-bulbus arteriosus,1400000762,5,Spring Creek,52888_101,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,101,2014-08-28 00:00:00,M,NA,Otolith,1400000762,5,Spring Creek,52888_101,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,102,2014-08-28 00:00:00,M,NA,Heart-bulbus arteriosus,1400000762,6,Spring Creek,52888_102,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,102,2014-08-28 00:00:00,M,NA,Otolith,1400000762,6,Spring Creek,52888_102,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,103,2014-08-28 00:00:00,M,NA,Heart-bulbus arteriosus,1400000762,7,Spring Creek,52888_103,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,103,2014-08-28 00:00:00,M,NA,Otolith,1400000762,7,Spring Creek,52888_103,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,104,2014-08-28 00:00:00,M,NA,Heart-bulbus arteriosus,1400000762,8,Spring Creek,52888_104,NA,NA,4N26,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,104,2014-08-28 00:00:00,M,NA,Otolith,1400000762,8,Spring Creek,52888_104,NA,NA,4N26,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,105,2014-08-28 00:00:00,M,418,Heart-bulbus arteriosus,1400000762,9,Spring Creek,52888_105,NO,NA,1L0n,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,105,2014-08-28 00:00:00,M,418,Otolith,1400000762,9,Spring Creek,52888_105,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,106,2014-08-28 00:00:00,M,NA,Heart-bulbus arteriosus,1400000762,10,Spring Creek,52888_106,YES,AFK12B,1R20,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,106,2014-08-28 00:00:00,M,NA,Otolith,1400000762,10,Spring Creek,52888_106,YES,AFK12B,1R20,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,107,2014-08-28 00:00:00,F,437,Heart-bulbus arteriosus,1400000762,11,Spring Creek,52888_107,NO,NA,1R20,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,107,2014-08-28 00:00:00,F,437,Otolith,1400000762,11,Spring Creek,52888_107,NO,NA,1R20,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,124,2014-08-25 00:00:00,M,NA,Heart-bulbus arteriosus,1400000761,1,Spring Creek,52888_124,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,124,2014-08-25 00:00:00,M,NA,Otolith,1400000761,1,Spring Creek,52888_124,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,125,2014-08-25 00:00:00,M,413,Heart-bulbus arteriosus,1400000761,2,Spring Creek,52888_125,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,125,2014-08-25 00:00:00,M,413,Otolith,1400000761,2,Spring Creek,52888_125,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,126,2014-08-25 00:00:00,F,408,Heart-bulbus arteriosus,1400000761,3,Spring Creek,52888_126,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,126,2014-08-25 00:00:00,F,408,Otolith,1400000761,3,Spring Creek,52888_126,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,127,2014-08-20 00:00:00,F,435,Heart-bulbus arteriosus,1400000787,1,Spring Creek,52888_127,NA,NA,3N66,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,127,2014-08-20 00:00:00,F,435,Otolith,1400000787,1,Spring Creek,52888_127,NA,NA,3N66,2014,1,0,NA,NA,NA,NA,NA
52888,PSPRIN14,128,2014-08-20 00:00:00,M,385,Heart-bulbus arteriosus,1400000787,2,Spring Creek,52888_128,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,128,2014-08-20 00:00:00,M,385,Otolith,1400000787,2,Spring Creek,52888_128,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,129,2014-08-20 00:00:00,M,394,Heart-bulbus arteriosus,1400000787,3,Spring Creek,52888_129,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
52888,PSPRIN14,129,2014-08-20 00:00:00,M,394,Otolith,1400000787,3,Spring Creek,52888_129,NO,NA,1L0n,2014,0,0,NA,NA,NA,NA,NA
