Source Position,Source Well,Destination Position,Destination Well,Volume
63213,A1,Purdue_1,A1,50
63213,C10,Purdue_1,B1,50
63213,E2,Purdue_1,C1,50
63213,C4,Purdue_1,D1,50
63213,A5,Purdue_1,E1,50
63213,D5,Purdue_1,F1,50
63213,A6,Purdue_1,G1,50
63213,F6,Purdue_1,H1,50
63213,A7,Purdue_1,A2,50
63213,E7,Purdue_1,B2,50
63213,H7,Purdue_1,C2,50
63213,B8,Purdue_1,D2,50
63213,B9,Purdue_1,E2,50
63213,C9,Purdue_1,F2,50
63213,G9,Purdue_1,G2,50
63213,H9,Purdue_1,H2,50
63214,E1,Purdue_1,A3,50
63214,G1,Purdue_1,B3,50
63214,F11,Purdue_1,C3,50
63214,B12,Purdue_1,D3,50
63215,B1,Purdue_1,E3,50
63215,F3,Purdue_1,F3,50
63215,C5,Purdue_1,G3,50
63216,F12,Purdue_1,H3,50
63216,G12,Purdue_1,A4,50
63216,B4,Purdue_1,B4,50
63216,C4,Purdue_1,C4,50
63216,F4,Purdue_1,D4,50
63217,F12,Purdue_1,E4,50
63217,F5,Purdue_1,F4,50
63218,C6,Purdue_1,G4,50
63218,E6,Purdue_1,H4,50
63219,C1,Purdue_1,A5,50
63219,E1,Purdue_1,B5,50
63219,E10,Purdue_1,C5,50
63219,F10,Purdue_1,D5,50
63219,A3,Purdue_1,E5,50
63219,B5,Purdue_1,F5,50
63219,C6,Purdue_1,G5,50
63219,E6,Purdue_1,H5,50
63219,H6,Purdue_1,A6,50
63219,A7,Purdue_1,B6,50
63219,G7,Purdue_1,C6,50
63219,E8,Purdue_1,D6,50
63220,C10,Purdue_1,E6,50
63220,H10,Purdue_1,F6,50
63220,C11,Purdue_1,G6,50
63220,B2,Purdue_1,H6,50
63220,E2,Purdue_1,A7,50
63220,D3,Purdue_1,B7,50
63220,B4,Purdue_1,C7,50
63220,E6,Purdue_1,D7,50
63220,A7,Purdue_1,E7,50
63220,E7,Purdue_1,F7,50
63220,H7,Purdue_1,G7,50
63220,C8,Purdue_1,H7,50
63221,F1,Purdue_1,A8,50
63221,B10,Purdue_1,B8,50
63221,C10,Purdue_1,C8,50
63221,D10,Purdue_1,D8,50
63221,A11,Purdue_1,E8,50
63221,B11,Purdue_1,F8,50
63221,E11,Purdue_1,G8,50
63221,F11,Purdue_1,H8,50
63221,C12,Purdue_1,A9,50
63221,B2,Purdue_1,B9,50
63221,E2,Purdue_1,C9,50
63221,A5,Purdue_1,D9,50
63221,F5,Purdue_1,E9,50
63221,E7,Purdue_1,F9,50
63221,G7,Purdue_1,G9,50
63221,B9,Purdue_1,H9,50
63221,D9,Purdue_1,A10,50
63222,A1,Purdue_1,B10,50
63222,A11,Purdue_1,C10,50
63222,D12,Purdue_1,D10,50
63222,F12,Purdue_1,E10,50
63222,B3,Purdue_1,F10,50
63222,E3,Purdue_1,G10,50
63222,B4,Purdue_1,H10,50
63222,F5,Purdue_1,A11,50
63222,B6,Purdue_1,B11,50
63222,H6,Purdue_1,C11,50
63222,D7,Purdue_1,D11,50
63222,E7,Purdue_1,E11,50
63223,F1,Purdue_1,F11,50
63223,H2,Purdue_1,G11,50
63223,B3,Purdue_1,H11,50
63223,G7,Purdue_1,A12,50
63223,B8,Purdue_1,B12,50
