silly,fish_id,sex,origin,date,parent_id
PHOGAN16,775,female,natural,2016-08-20,PH14_00180
PHOGAN16,5399,male,natural,2016-09-03,PH14_00180
PHOGAN16,88,male,natural,2016-09-06,PH14_00840
PHOGAN16,6670,male,natural,2016-09-11,PH14_00840
PHOGAN16,3042,male,natural,2016-09-04,PH14_00846
PHOGAN16,3348,female,natural,2016-08-30,PH14_00846
PHOGAN16,6869,male,natural,2016-09-03,PH14_00855
PHOGAN16,8503,female,natural,2016-09-02,PH14_00855
PHOGAN16,4008,male,natural,2016-09-16,PH14_00867
PHOGAN16,10054,female,natural,2016-08-30,PH14_00867
PHOGAN16,710,male,natural,2016-08-18,PH14_00878
PHOGAN16,805,female,natural,2016-08-20,PH14_00878
PHOGAN16,2413,male,natural,2016-09-08,PH14_00878
PHOGAN16,7975,female,natural,2016-08-28,PH14_01056
PHOGAN16,11247,female,natural,2016-09-07,PH14_01056
PHOGAN16,984,male,natural,2016-09-12,PH14_01452
PHOGAN16,12498,female,natural,2016-08-28,PH14_01452
PHOGAN16,9303,male,natural,2016-09-10,PH14_02033
PHOGAN16,9397,female,natural,2016-09-13,PH14_02033
PHOGAN16,8303,male,natural,2016-09-06,PH14_02222
PHOGAN16,11090,male,natural,2016-08-29,PH14_02222
PHOGAN15,45,female,natural,2015-08-09,PH13_00037
PHOGAN15,88,female,natural,2015-08-09,PH13_00037
PHOGAN15,114,female,natural,2015-08-09,PH13_00037
PHOGAN15,120,male,natural,2015-08-09,PH13_00037
PHOGAN15,176,female,natural,2015-08-09,PH13_00037
PHOGAN15,194,male,natural,2015-08-09,PH13_00037
PHOGAN15,210,male,natural,2015-08-09,PH13_00037
PHOGAN15,266,male,natural,2015-08-10,PH13_00037
PHOGAN15,430,female,natural,2015-08-12,PH13_00037
PHOGAN15,471,female,natural,2015-08-14,PH13_00037
PHOGAN15,694,male,natural,2015-08-14,PH13_00037
PHOGAN15,713,female,natural,2015-08-14,PH13_00037
PHOGAN15,821,female,natural,2015-08-14,PH13_00037
PHOGAN15,1039,female,natural,2015-08-16,PH13_00037
PHOGAN15,1162,male,natural,2015-08-16,PH13_00037
PHOGAN15,1194,female,natural,2015-08-16,PH13_00037
PHOGAN15,1431,male,natural,2015-08-20,PH13_00037
PHOGAN15,1691,male,natural,2015-08-20,PH13_00037
PHOGAN15,2398,male,natural,2015-08-25,PH13_00037
PHOGAN15,3293,female,natural,2015-08-28,PH13_00037
PHOGAN15,312,male,natural,2015-08-12,PH13_00046
PHOGAN15,1128,male,natural,2015-08-16,PH13_00046
PHOGAN15,2115,male,natural,2015-08-23,PH13_00046
PHOGAN15,2925,female,natural,2015-08-27,PH13_00157
PHOGAN15,4924,female,natural,2015-09-02,PH13_00157
PHOGAN15,823,male,natural,2015-08-14,PH13_00228
PHOGAN15,1289,male,natural,2015-08-18,PH13_00228
PSTOCK15,1530,male,natural,2015-08-25,PS13_00002
PSTOCK15,2908,male,natural,2015-08-27,PS13_00002
PSTOCK15,367,male,natural,2015-08-19,PS13_00012
PSTOCK15,502,male,natural,2015-08-19,PS13_00012
PSTOCK15,1019,male,natural,2015-08-23,PS13_00012
PSTOCK15,2152,female,natural,2015-08-25,PS13_00012
PSTOCK15,2661,male,natural,2015-08-27,PS13_00012
PSTOCK15,3028,female,natural,2015-08-27,PS13_00052
PSTOCK15,4093,male,natural,2015-08-30,PS13_00052
PSTOCK15,2905,female,natural,2015-08-27,PS13_00313
PSTOCK15,5438,female,natural,2015-09-06,PS13_00313
PSTOCK15,2720,male,natural,2015-08-27,PS13_00758
PSTOCK15,5635,female,natural,2015-09-06,PS13_00758
PSTOCK15,3607,female,natural,2015-08-30,PS13_01196
PSTOCK15,6222,male,natural,2015-09-09,PS13_01196
