hatchery,year,lineage,start_date,p50_date,end_date,start_julian,p50_julian,end_julian,duration,fecundity
AFK,1975,odd,NA,NA,NA,NA,NA,NA,NA,NA
AFK,1976,even,1976-08-18,1976-08-28,1976-09-08,231,241,252,21,1552
AFK,1976,even,1976-08-25,1976-09-07,1976-09-21,238,251,265,27,1619
AFK,1977,odd,NA,NA,NA,NA,NA,NA,NA,NA
AFK,1978,even,1978-07-25,1978-08-13,1978-09-01,206,225,244,38,1782
AFK,1979,odd,1979-07-30,1979-08-22,1979-09-14,211,234,257,46,1660
AFK,1980,even,1980-08-24,1980-08-25,1980-08-26,237,238,239,2,1670
AFK,1981,odd,1981-08-26,1981-09-06,1981-09-18,238,249,261,23,1675
AFK,1982,even,1982-09-04,1982-09-12,1982-09-21,247,255,264,17,1565
AFK,1983,odd,1983-08-29,1983-09-07,1983-09-16,241,250,259,18,1618
AFK,1984,even,1984-08-25,1984-09-04,1984-09-14,238,248,258,20,1678
AFK,1985,odd,1985-08-26,1985-09-06,1985-09-18,238,249,261,23,1519
AFK,1986,even,1986-08-26,1986-09-06,1986-09-18,238,249,261,23,1641
AFK,1987,odd,1987-08-27,1987-09-06,1987-09-17,239,249,260,21,1647
AFK,1988,even,1988-08-23,1988-09-05,1988-09-19,236,249,263,27,1626
AFK,1989,odd,1989-08-25,1989-08-31,1989-09-07,237,243,250,13,1565
AFK,1990,even,1990-08-24,1990-09-03,1990-09-13,236,246,256,20,1668
AFK,1991,odd,1991-08-25,1991-09-03,1991-09-13,237,246,256,19,1423
AFK,1992,even,1992-08-24,1992-09-04,1992-09-15,237,248,259,22,1767
AFK,1993,odd,1993-08-21,1993-09-01,1993-09-13,233,244,256,23,1475
AFK,1994,even,1994-08-23,1994-09-01,1994-09-10,235,244,253,18,1807
AFK,1995,odd,1995-08-23,1995-09-02,1995-09-12,235,245,255,20,NA
AFK,1996,even,NA,NA,NA,NA,NA,NA,NA,1506
AFK,1997,odd,NA,NA,NA,NA,NA,NA,NA,NA
AFK,1998,even,1998-08-24,1998-09-05,1998-09-17,236,248,260,24,1554
AFK,1999,odd,1999-08-28,1999-09-10,1999-09-23,240,253,266,26,1226
AFK,2000,even,2000-08-28,2000-09-07,2000-09-17,241,251,261,20,1583
AFK,2001,odd,2001-08-27,2001-09-06,2001-09-16,239,249,259,20,1454
AFK,2002,even,2002-08-28,2002-09-06,2002-09-16,240,249,259,19,1564
AFK,2003,odd,2003-08-26,2003-09-04,2003-09-14,238,247,257,19,1462
AFK,2004,even,2004-08-27,2004-09-10,2004-09-24,240,254,268,28,1530
AFK,2005,odd,2005-08-23,2005-09-05,2005-09-18,235,248,261,26,1436
AFK,2006,even,2006-08-28,2006-09-08,2006-09-19,240,251,262,22,1662
AFK,2007,odd,2007-08-27,2007-09-04,2007-09-12,239,247,255,16,1481
AFK,2008,even,2008-08-25,2008-09-02,2008-09-10,238,246,254,16,1455
AFK,2009,odd,2009-08-23,2009-08-31,2009-09-09,235,243,252,17,1504
AFK,2010,even,2010-08-24,2010-08-29,2010-09-04,236,241,247,11,1629
AFK,2011,odd,2011-08-24,2011-08-29,2011-09-04,236,241,247,11,1451
AFK,2012,even,2012-08-24,2012-08-31,2012-09-07,237,244,251,14,1633
AFK,2013,odd,2013-08-21,2013-08-28,2013-09-04,233,240,247,14,1378
AFK,2014,even,2014-08-21,2014-08-28,2014-09-05,233,240,248,15,1516
AFK,2015,odd,2015-08-25,2015-08-31,2015-09-06,237,243,249,12,1196
AFK,2016,even,2016-08-20,2016-09-01,2016-09-14,233,245,258,25,1815
AFK,2017,odd,2017-08-27,2017-09-05,2017-09-14,239,248,257,18,1336
AFK,2018,even,2018-08-25,2018-08-30,2018-09-05,237,242,248,11,1549
AFK,2019,odd,2019-08-29,2019-09-06,2019-09-14,241,249,257,16,1236
AFK,2020,even,2020-08-25,2020-09-02,2020-09-11,238,246,255,17,1427
AFK,2021,odd,2021-08-26,2021-08-31,2021-09-06,238,243,249,11,1306
WNH,1993,odd,NA,NA,NA,NA,NA,NA,NA,NA
WNH,1994,even,1994-08-22,1994-09-01,1994-09-12,234,244,255,21,1736
WNH,1995,odd,1995-08-22,1995-09-02,1995-09-14,234,245,257,23,1513
WNH,1996,even,1996-08-23,1996-09-02,1996-09-13,236,246,257,21,1528
WNH,1997,odd,1997-08-20,1997-09-02,1997-09-15,232,245,258,26,1495
WNH,1998,even,1998-08-22,1998-08-30,1998-09-07,234,242,250,16,1515
WNH,1999,odd,1999-08-27,1999-09-06,1999-09-16,239,249,259,20,1111
WNH,2000,even,2000-08-25,2000-09-02,2000-09-10,238,246,254,16,1555
WNH,2001,odd,2001-08-27,2001-09-08,2001-09-20,239,251,263,24,1453
WNH,2002,even,2002-08-27,2002-09-04,2002-09-13,239,247,256,17,1466
WNH,2003,odd,2003-08-21,2003-08-29,2003-09-06,233,241,249,16,1559
WNH,2004,even,2004-08-26,2004-09-05,2004-09-15,239,249,259,20,1426
WNH,2005,odd,2005-08-16,2005-08-31,2005-09-16,228,243,259,31,1249
WNH,2006,even,2006-08-25,2006-09-01,2006-09-08,237,244,251,14,1606
WNH,2007,odd,2007-08-24,2007-08-31,2007-09-08,236,243,251,15,1369
WNH,2008,even,2008-08-24,2008-09-01,2008-09-10,237,245,254,17,1559
WNH,2009,odd,2009-08-24,2009-08-30,2009-09-06,236,242,249,13,1290
WNH,2010,even,2010-08-24,2010-08-29,2010-09-03,236,241,246,10,1477
WNH,2011,odd,2011-08-25,2011-08-31,2011-09-06,237,243,249,12,1224
WNH,2012,even,2012-08-24,2012-08-29,2012-09-03,237,242,247,10,1620
WNH,2013,odd,2013-08-20,2013-08-27,2013-09-04,232,239,247,15,1102
WNH,2014,even,2014-08-20,2014-08-25,2014-08-30,232,237,242,10,1305
WNH,2015,odd,2015-08-24,2015-09-01,2015-09-10,236,244,253,17,1028
WNH,2016,even,2016-08-19,2016-08-29,2016-09-09,232,242,253,21,1431
WNH,2017,odd,2017-08-27,2017-09-01,2017-09-07,239,244,250,11,1382
WNH,2018,even,2018-08-23,2018-08-31,2018-09-08,235,243,251,16,1367
WNH,2019,odd,2019-08-26,2019-09-05,2019-09-15,238,248,258,20,1226
WNH,2020,even,2020-08-21,2020-08-29,2020-09-07,234,242,251,17,1395
WNH,2021,odd,2021-08-23,2021-08-31,2021-09-08,235,243,251,16,1310
CCH,1975,odd,NA,NA,NA,NA,NA,NA,NA,NA
CCH,1976,even,NA,NA,NA,NA,NA,NA,NA,NA
CCH,1977,odd,NA,NA,NA,NA,NA,NA,NA,NA
CCH,1978,even,NA,NA,NA,NA,NA,NA,NA,NA
CCH,1979,odd,NA,NA,NA,NA,NA,NA,NA,NA
CCH,1980,even,NA,NA,NA,NA,NA,NA,NA,NA
CCH,1981,odd,NA,NA,NA,NA,NA,NA,NA,NA
CCH,1982,even,NA,NA,NA,NA,NA,NA,NA,NA
CCH,1983,odd,NA,NA,NA,NA,NA,NA,NA,NA
CCH,1984,even,NA,NA,NA,NA,NA,NA,NA,NA
CCH,1985,odd,NA,NA,NA,NA,NA,NA,NA,NA
CCH,1986,even,NA,NA,NA,NA,NA,NA,NA,NA
CCH,1987,odd,NA,NA,NA,NA,NA,NA,NA,NA
CCH,1988,even,1988-08-27,1988-09-10,1988-09-25,240,254,269,29,1674
CCH,1989,odd,1989-08-23,1989-09-05,1989-09-18,235,248,261,26,1610
CCH,1990,even,1990-08-25,1990-09-04,1990-09-14,237,247,257,20,1528
CCH,1991,odd,1991-08-24,1991-09-03,1991-09-14,236,246,257,21,1315
