silly_source,silly,fish_id,dwp_barcode,dwp_well,tissue_type,sample_date,sex,otolith_mark_present
PHOGAN15_45,PHOGAN15,45,2042,13,Heart-bulbus arteriosus,2015-08-09,F,NO
PHOGAN15_88,PHOGAN15,88,2043,8,Heart-bulbus arteriosus,2015-08-09,F,NO
PHOGAN15_114,PHOGAN15,114,2043,34,Heart-bulbus arteriosus,2015-08-09,F,NO
PHOGAN15_116,PHOGAN15,116,2043,36,Heart-bulbus arteriosus,2015-08-09,F,NO
PHOGAN15_120,PHOGAN15,120,2043,40,Heart-bulbus arteriosus,2015-08-09,M,NO
PHOGAN15_176,PHOGAN15,176,2044,48,Heart-bulbus arteriosus,2015-08-09,F,NO
PHOGAN15_194,PHOGAN15,194,2045,18,Heart-bulbus arteriosus,2015-08-09,M,NO
PHOGAN15_210,PHOGAN15,210,2045,34,Heart-bulbus arteriosus,2015-08-09,M,NO
PHOGAN15_266,PHOGAN15,266,2051,17,Heart-bulbus arteriosus,2015-08-10,M,NO
PHOGAN15_312,PHOGAN15,312,2054,24,Heart-bulbus arteriosus,2015-08-12,M,NO
PHOGAN15_430,PHOGAN15,430,2056,46,Heart-bulbus arteriosus,2015-08-12,F,NO
PHOGAN15_471,PHOGAN15,471,2060,11,Heart-bulbus arteriosus,2015-08-14,F,NO
PHOGAN15_509,PHOGAN15,509,2061,1,Heart-bulbus arteriosus,2015-08-14,F,NO
PHOGAN15_694,PHOGAN15,694,2064,42,Heart-bulbus arteriosus,2015-08-14,M,NO
PHOGAN15_713,PHOGAN15,713,2065,13,Heart-bulbus arteriosus,2015-08-14,F,NO
PHOGAN15_821,PHOGAN15,821,2067,25,Heart-bulbus arteriosus,2015-08-14,F,NO
PHOGAN15_823,PHOGAN15,823,2067,27,Heart-bulbus arteriosus,2015-08-14,M,NO
PHOGAN15_1039,PHOGAN15,1039,2075,33,Heart-bulbus arteriosus,2015-08-16,F,NO
PHOGAN15_1128,PHOGAN15,1128,2077,26,Heart-bulbus arteriosus,2015-08-16,M,NO
PHOGAN15_1162,PHOGAN15,1162,2078,12,Heart-bulbus arteriosus,2015-08-16,M,NO
PHOGAN15_1194,PHOGAN15,1194,2078,44,Heart-bulbus arteriosus,2015-08-16,F,NO
PHOGAN15_1289,PHOGAN15,1289,2084,35,Heart-bulbus arteriosus,2015-08-18,M,NO
PHOGAN15_1431,PHOGAN15,1431,2098,47,Heart-bulbus arteriosus,2015-08-20,M,NO
PHOGAN15_1691,PHOGAN15,1691,2104,19,Heart-bulbus arteriosus,2015-08-20,M,NO
PHOGAN15_1725,PHOGAN15,1725,2105,5,Heart-bulbus arteriosus,2015-08-20,M,NO
PHOGAN15_2115,PHOGAN15,2115,2873,32,Heart-bulbus arteriosus,2015-08-23,M,NO
PHOGAN15_2172,PHOGAN15,2172,2875,35,Heart-bulbus arteriosus,2015-08-24,M,NO
PHOGAN15_2398,PHOGAN15,2398,2880,21,Heart-bulbus arteriosus,2015-08-25,M,NO
PHOGAN15_2511,PHOGAN15,2511,2882,38,Heart-bulbus arteriosus,2015-08-25,M,NO
PHOGAN15_2925,PHOGAN15,2925,2891,20,Heart-bulbus arteriosus,2015-08-27,F,NO
PHOGAN15_3289,PHOGAN15,3289,2898,48,Heart-bulbus arteriosus,2015-08-28,M,NO
PHOGAN15_3293,PHOGAN15,3293,2899,4,Heart-bulbus arteriosus,2015-08-28,F,NO
PHOGAN15_3748,PHOGAN15,3748,2908,27,Heart-bulbus arteriosus,2015-08-30,F,NO
PHOGAN15_4924,PHOGAN15,4924,2263,3,Heart-bulbus arteriosus,2015-09-02,F,NO
PHOGAN15_5877,PHOGAN15,5877,2794,44,Heart-bulbus arteriosus,2015-09-08,F,NO
PHOGAN15_6885,PHOGAN15,6885,2850,44,Heart-bulbus arteriosus,2015-09-11,F,NO
