silly,fish_id,sex,origin,sample_date
PSPRIN14,129,male,natural,2014-08-20
PSPRIN14,130,female,natural,2014-08-20
PSPRIN14,135,female,natural,2014-08-20
PSPRIN14,138,male,natural,2014-08-20
PSPRIN14,139,female,natural,2014-08-20
PSPRIN14,140,male,natural,2014-08-20
PSPRIN14,141,male,natural,2014-08-20
PSPRIN14,142,male,natural,2014-08-20
PSPRIN14,143,male,natural,2014-08-20
PSPRIN14,145,male,natural,2014-08-20
PSPRIN14,147,male,natural,2014-08-20
PSPRIN14,148,female,natural,2014-08-20
PSPRIN14,150,female,natural,2014-08-14
PSPRIN14,151,male,natural,2014-08-14
PSPRIN14,152,male,natural,2014-08-14
PSPRIN14,154,male,natural,2014-08-14
PSPRIN14,157,male,natural,2014-08-14
PSPRIN14,171,female,natural,2014-08-14
PSPRIN14,173,female,natural,2014-08-14
PSPRIN14,175,male,natural,2014-08-14
PSPRIN14,179,male,natural,2014-08-14
PSPRIN14,180,female,natural,2014-08-14
PSPRIN14,181,male,natural,2014-08-14
PSPRIN14,187,female,natural,2014-08-14
PSPRIN14,189,female,natural,2014-08-14
PSPRIN14,193,female,natural,2014-08-14
PSPRIN14,196,female,natural,2014-08-14
PSPRIN14,201,female,natural,2014-08-14
PSPRIN14,207,female,natural,2014-08-14
PSPRIN14,208,male,natural,2014-08-14
PSPRIN14,212,male,natural,2014-08-14
PSPRIN14,223,female,natural,2014-08-10
PSPRIN14,224,female,natural,2014-08-10
PSPRIN14,241,female,natural,2014-08-10
PSPRIN14,242,female,natural,2014-08-10
