silly_source,silly,fish_id,dwp_barcode,dwp_well,tissue_type,sample_date,sex,otolith_mark_present
PSTOCK16_878,PSTOCK16,878,0000015790,47,Heart-bulbus arteriosus,2016-09-04,Female,NO
PSTOCK16_1038,PSTOCK16,1038,0000015892,32,Heart-bulbus arteriosus,2016-09-11,Male,NO
PSTOCK16_1085,PSTOCK16,1085,0000014555,42,Heart-bulbus arteriosus,2016-08-23,Male,NO
PSTOCK16_1193,PSTOCK16,1193,0000014550,6,Heart-bulbus arteriosus,2016-08-23,Male,NO
PSTOCK16_1321,PSTOCK16,1321,0000014623,38,Heart-bulbus arteriosus,2016-08-31,Male,NO
PSTOCK16_1799,PSTOCK16,1799,0000014615,47,Heart-bulbus arteriosus,2016-08-31,Female,NO
PSTOCK16_2018,PSTOCK16,2018,0000015785,26,Heart-bulbus arteriosus,2016-09-04,Female,NO
PSTOCK16_2441,PSTOCK16,2441,0000014587,47,Heart-bulbus arteriosus,2016-08-29,Male,NO
PSTOCK16_2588,PSTOCK16,2588,0000014580,2,Heart-bulbus arteriosus,2016-08-29,Male,NO
PSTOCK16_2764,PSTOCK16,2764,0000014538,34,Heart-bulbus arteriosus,2016-08-22,Female,NO
PSTOCK16_2788,PSTOCK16,2788,0000014536,10,Heart-bulbus arteriosus,2016-08-22,Female,NO
PSTOCK16_2813,PSTOCK16,2813,0000014536,35,Heart-bulbus arteriosus,2016-08-22,Male,NO
PSTOCK16_2968,PSTOCK16,2968,0000014683,46,Heart-bulbus arteriosus,2016-08-26,Male,NO
PSTOCK16_3121,PSTOCK16,3121,0000014496,7,Heart-bulbus arteriosus,2016-08-17,Male,NO
PSTOCK16_3219,PSTOCK16,3219,0000014494,43,Heart-bulbus arteriosus,2016-08-17,Female,NO
PSTOCK16_3438,PSTOCK16,3438,0000014513,22,Heart-bulbus arteriosus,2016-08-19,Female,NO
PSTOCK16_3482,PSTOCK16,3482,0000014512,18,Heart-bulbus arteriosus,2016-08-19,Male,NO
PSTOCK16_4020,PSTOCK16,4020,0000014561,44,Heart-bulbus arteriosus,2016-08-27,Female,NO
PSTOCK16_4748,PSTOCK16,4748,0000014584,13,Heart-bulbus arteriosus,2016-08-29,Female,NO
PSTOCK16_5126,PSTOCK16,5126,0000015888,32,Heart-bulbus arteriosus,2016-09-11,Male,NO
PSTOCK16_5154,PSTOCK16,5154,0000015822,12,Heart-bulbus arteriosus,2016-09-07,Male,NO
PSTOCK16_5418,PSTOCK16,5418,0000014650,36,Heart-bulbus arteriosus,2016-09-02,Female,NO
PSTOCK16_6466,PSTOCK16,6466,0000014558,2,Heart-bulbus arteriosus,2016-08-27,Female,NO
PSTOCK16_6480,PSTOCK16,6480,0000014558,16,Heart-bulbus arteriosus,2016-08-27,Male,NO
PSTOCK16_6507,PSTOCK16,6507,0000014558,43,Heart-bulbus arteriosus,2016-08-27,Female,NO
PSTOCK16_6920,PSTOCK16,6920,0000014654,24,Heart-bulbus arteriosus,2016-09-02,Female,NO
PSTOCK16_6967,PSTOCK16,6967,0000014653,23,Heart-bulbus arteriosus,2016-09-02,Male,NO
PSTOCK16_7508,PSTOCK16,7508,0000014544,1,Heart-bulbus arteriosus,2016-08-22,Female,NO
PSTOCK16_7546,PSTOCK16,7546,0000014544,39,Heart-bulbus arteriosus,2016-08-22,Female,NO
PSTOCK16_7558,PSTOCK16,7558,0000014540,3,Heart-bulbus arteriosus,2016-08-22,Female,NO
PSTOCK16_7945,PSTOCK16,7945,0000014648,1,Heart-bulbus arteriosus,2016-09-02,Male,NO
PSTOCK16_8050,PSTOCK16,8050,0000014532,10,Heart-bulbus arteriosus,2016-08-21,Male,NO
PSTOCK16_8103,PSTOCK16,8103,0000014548,15,Heart-bulbus arteriosus,2016-08-23,Male,NO
PSTOCK16_8173,PSTOCK16,8173,0000015871,37,Heart-bulbus arteriosus,2016-09-10,Female,NO
PSTOCK16_8667,PSTOCK16,8667,0000014559,35,Heart-bulbus arteriosus,2016-08-27,Female,NO
PSTOCK16_8672,PSTOCK16,8672,0000014559,40,Heart-bulbus arteriosus,2016-08-27,Male,NO
