silly_source,silly,fish_id,dwp_barcode,dwp_well,tissue_type,sample_date,sex,otolith_mark_present
PERB17_3,PERB17,3,0000021870,3,Heart-bulbus arteriosus,2017-08-08,F,NO
PERB17_4,PERB17,4,0000021870,4,Heart-bulbus arteriosus,2017-08-08,F,NO
PERB17_23,PERB17,23,0000021870,23,Heart-bulbus arteriosus,2017-08-08,F,NO
PERB17_33,PERB17,33,0000021870,33,Heart-bulbus arteriosus,2017-08-08,M,NO
PERB17_45,PERB17,45,0000021870,45,Heart-bulbus arteriosus,2017-08-08,M,NO
PERB17_64,PERB17,64,0000021943,16,Heart-bulbus arteriosus,2017-08-16,M,NO
PERB17_110,PERB17,110,0000022000,14,Heart-bulbus arteriosus,2017-08-21,M,NO
PERB17_111,PERB17,111,0000022000,15,Heart-bulbus arteriosus,2017-08-21,F,NO
PERB17_113,PERB17,113,0000022000,17,Heart-bulbus arteriosus,2017-08-21,M,NO
PERB17_123,PERB17,123,0000022000,27,Heart-bulbus arteriosus,2017-08-21,F,NO
PERB17_127,PERB17,127,0000022000,31,Heart-bulbus arteriosus,2017-08-21,M,NO
PERB17_136,PERB17,136,0000022000,40,Heart-bulbus arteriosus,2017-08-21,M,NO
PERB17_138,PERB17,138,0000022000,42,Heart-bulbus arteriosus,2017-08-21,F,NO
PERB17_148,PERB17,148,0000022055,4,Heart-bulbus arteriosus,2017-08-25,M,NO
PERB17_151,PERB17,151,0000022055,7,Heart-bulbus arteriosus,2017-08-25,F,NO
PERB17_187,PERB17,187,0000022055,43,Heart-bulbus arteriosus,2017-08-25,F,NO
PERB17_217,PERB17,217,0000022139,25,Heart-bulbus arteriosus,2017-08-31,F,NO
PERB17_220,PERB17,220,0000022139,28,Heart-bulbus arteriosus,2017-08-31,F,NO
PERB17_231,PERB17,231,0000022139,39,Heart-bulbus arteriosus,2017-08-31,F,NO
PERB17_234,PERB17,234,0000022139,42,Heart-bulbus arteriosus,2017-08-31,F,NO
PERB17_245,PERB17,245,0000022203,5,Heart-bulbus arteriosus,2017-09-03,M,NO
PERB17_257,PERB17,257,0000022203,17,Heart-bulbus arteriosus,2017-09-03,F,NO
PERB17_263,PERB17,263,0000022203,23,Heart-bulbus arteriosus,2017-09-03,F,NO
PERB17_271,PERB17,271,0000022203,31,Heart-bulbus arteriosus,2017-09-03,M,NO
PERB17_272,PERB17,272,0000022203,32,Heart-bulbus arteriosus,2017-09-03,F,NO
PERB17_282,PERB17,282,0000022203,42,Heart-bulbus arteriosus,2017-09-03,M,NO
PERB17_295,PERB17,295,0000022258,7,Heart-bulbus arteriosus,2017-09-06,F,NO
PERB17_318,PERB17,318,0000022258,30,Heart-bulbus arteriosus,2017-09-06,M,NO
PERB17_324,PERB17,324,0000022258,36,Heart-bulbus arteriosus,2017-09-06,M,NO
PERB17_347,PERB17,347,0000022323,11,Heart-bulbus arteriosus,2017-09-10,M,NO
PERB17_357,PERB17,357,0000022323,21,Heart-bulbus arteriosus,2017-09-10,F,NO
PERB17_365,PERB17,365,0000022323,29,Heart-bulbus arteriosus,2017-09-10,F,NO
PERB17_372,PERB17,372,0000022323,36,Heart-bulbus arteriosus,2017-09-10,M,NO
PERB17_381,PERB17,381,0000022323,45,Heart-bulbus arteriosus,2017-09-10,M,NO
PERB17_383,PERB17,383,0000022323,47,Heart-bulbus arteriosus,2017-09-10,M,NO
PERB17_384,PERB17,384,0000022323,48,Heart-bulbus arteriosus,2017-09-10,M,NO
