silly_source,silly,fish_id,dwp_barcode,dwp_well,tissue_type,sample_date,sex,otolith_mark_present
PSPRIN14_51,PSPRIN14,51,1300001613,3,Heart-bulbus arteriosus,2014-08-03,M,NO
PSPRIN14_54,PSPRIN14,54,1300001613,6,Heart-bulbus arteriosus,2014-08-03,F,NO
PSPRIN14_55,PSPRIN14,55,1300001613,7,Heart-bulbus arteriosus,2014-08-03,F,NO
PSPRIN14_99,PSPRIN14,99,1400000762,3,Heart-bulbus arteriosus,2014-08-28,F,NO
PSPRIN14_101,PSPRIN14,101,1400000762,5,Heart-bulbus arteriosus,2014-08-28,M,NO
PSPRIN14_103,PSPRIN14,103,1400000762,7,Heart-bulbus arteriosus,2014-08-28,M,NO
PSPRIN14_130,PSPRIN14,130,1400000787,4,Heart-bulbus arteriosus,2014-08-20,F,NO
PSPRIN14_138,PSPRIN14,138,1400000787,12,Heart-bulbus arteriosus,2014-08-20,M,NO
PSPRIN14_139,PSPRIN14,139,1400000787,13,Heart-bulbus arteriosus,2014-08-20,F,NO
PSPRIN14_140,PSPRIN14,140,1400000787,14,Heart-bulbus arteriosus,2014-08-20,M,NO
PSPRIN14_141,PSPRIN14,141,1400000787,15,Heart-bulbus arteriosus,2014-08-20,M,NO
PSPRIN14_142,PSPRIN14,142,1400000787,16,Heart-bulbus arteriosus,2014-08-20,M,NO
PSPRIN14_145,PSPRIN14,145,1400000787,19,Heart-bulbus arteriosus,2014-08-20,M,NO
PSPRIN14_147,PSPRIN14,147,1400000787,21,Heart-bulbus arteriosus,2014-08-20,M,NO
PSPRIN14_150,PSPRIN14,150,1300001616,1,Heart-bulbus arteriosus,2014-08-14,F,NO
PSPRIN14_151,PSPRIN14,151,1300001616,2,Heart-bulbus arteriosus,2014-08-14,M,NO
PSPRIN14_154,PSPRIN14,154,1300001616,5,Heart-bulbus arteriosus,2014-08-14,M,NO
PSPRIN14_157,PSPRIN14,157,1300001616,8,Heart-bulbus arteriosus,2014-08-14,M,NO
PSPRIN14_171,PSPRIN14,171,1300001615,3,Heart-bulbus arteriosus,2014-08-14,F,NO
PSPRIN14_172,PSPRIN14,172,1300001615,4,Heart-bulbus arteriosus,2014-08-14,F,NO
PSPRIN14_175,PSPRIN14,175,1300001615,7,Heart-bulbus arteriosus,2014-08-14,M,NO
PSPRIN14_176,PSPRIN14,176,1300001615,8,Heart-bulbus arteriosus,2014-08-14,M,NO
PSPRIN14_180,PSPRIN14,180,1300001615,12,Heart-bulbus arteriosus,2014-08-14,F,NO
PSPRIN14_189,PSPRIN14,189,1300001615,21,Heart-bulbus arteriosus,2014-08-14,F,NO
PSPRIN14_196,PSPRIN14,196,1300001615,28,Heart-bulbus arteriosus,2014-08-14,F,NO
PSPRIN14_201,PSPRIN14,201,1300001615,33,Heart-bulbus arteriosus,2014-08-14,F,NO
PSPRIN14_212,PSPRIN14,212,1300001615,44,Heart-bulbus arteriosus,2014-08-14,M,NO
PSPRIN14_223,PSPRIN14,223,1300001608,7,Heart-bulbus arteriosus,2014-08-10,F,NO
PSPRIN14_224,PSPRIN14,224,1300001608,8,Heart-bulbus arteriosus,2014-08-10,F,NO
PSPRIN14_225,PSPRIN14,225,1300001608,9,Heart-bulbus arteriosus,2014-08-10,M,NO
PSPRIN14_231,PSPRIN14,231,1300001608,15,Heart-bulbus arteriosus,2014-08-10,F,NO
PSPRIN14_236,PSPRIN14,236,1300001608,20,Heart-bulbus arteriosus,2014-08-10,F,NO
PSPRIN14_237,PSPRIN14,237,1300001608,21,Heart-bulbus arteriosus,2014-08-10,M,NO
PSPRIN14_238,PSPRIN14,238,1300001608,22,Heart-bulbus arteriosus,2014-08-10,M,NO
PSPRIN14_241,PSPRIN14,241,1300001608,25,Heart-bulbus arteriosus,2014-08-10,F,NO
PSPRIN14_242,PSPRIN14,242,1300001608,26,Heart-bulbus arteriosus,2014-08-10,F,NO
PSPRIN15_2433,PSPRIN15,2433,0000001813,8,Heart-bulbus arteriosus,2015-07-28,F,NO
PSPRIN15_2440,PSPRIN15,2440,0000001813,15,Heart-bulbus arteriosus,2015-07-28,M,NO
PSPRIN15_2452,PSPRIN15,2452,0000001813,27,Heart-bulbus arteriosus,2015-07-28,M,NO
PSPRIN15_2458,PSPRIN15,2458,0000001813,33,Heart-bulbus arteriosus,2015-07-28,F,NO
PSPRIN15_2484,PSPRIN15,2484,0000001814,11,Heart-bulbus arteriosus,2015-07-28,M,NO
PSPRIN15_2487,PSPRIN15,2487,0000001814,14,Heart-bulbus arteriosus,2015-07-28,M,NO
PSPRIN15_2492,PSPRIN15,2492,0000001814,19,Heart-bulbus arteriosus,2015-07-28,F,NO
PSPRIN15_2504,PSPRIN15,2504,0000001814,31,Heart-bulbus arteriosus,2015-07-28,M,NO
PSPRIN15_2509,PSPRIN15,2509,0000001814,36,Heart-bulbus arteriosus,2015-07-28,F,NO
PSPRIN15_4878,PSPRIN15,4878,0000001864,5,Heart-bulbus arteriosus,2015-08-06,F,NO
PSPRIN15_4916,PSPRIN15,4916,0000001864,43,Heart-bulbus arteriosus,2015-08-06,M,NO
PSPRIN15_4917,PSPRIN15,4917,0000001864,44,Heart-bulbus arteriosus,2015-08-06,M,NO
PSPRIN15_4939,PSPRIN15,4939,0000001865,18,Heart-bulbus arteriosus,2015-08-06,F,NO
