silly_source,silly,fish_id,dwp_barcode,dwp_well,tissue_type,sample_date,sex,otolith_mark_present
PSPRIN14_53,PSPRIN14,53,1300001613,5,Heart-bulbus arteriosus,2014-08-03,F,NO
PSPRIN14_129,PSPRIN14,129,1400000787,3,Heart-bulbus arteriosus,2014-08-20,M,NO
PSPRIN14_135,PSPRIN14,135,1400000787,9,Heart-bulbus arteriosus,2014-08-20,F,NO
PSPRIN14_143,PSPRIN14,143,1400000787,17,Heart-bulbus arteriosus,2014-08-20,M,NO
PSPRIN14_148,PSPRIN14,148,1400000787,22,Heart-bulbus arteriosus,2014-08-20,F,NO
PSPRIN14_152,PSPRIN14,152,1300001616,3,Heart-bulbus arteriosus,2014-08-14,M,NO
PSPRIN14_179,PSPRIN14,179,1300001615,11,Heart-bulbus arteriosus,2014-08-14,M,NO
PSPRIN14_181,PSPRIN14,181,1300001615,13,Heart-bulbus arteriosus,2014-08-14,M,NO
PSPRIN14_193,PSPRIN14,193,1300001615,25,Heart-bulbus arteriosus,2014-08-14,F,NO
PSPRIN14_207,PSPRIN14,207,1300001615,39,Heart-bulbus arteriosus,2014-08-14,F,NO
PSPRIN14_230,PSPRIN14,230,1300001608,14,Heart-bulbus arteriosus,2014-08-10,M,NO
PSPRIN14_245,PSPRIN14,245,1300001608,29,Heart-bulbus arteriosus,2014-08-10,F,NO
