silly_source,silly,fish_id,dwp_barcode,dwp_well,tissue_type,sample_date,sex,hatchery,otolith_mark_present,otolith_mark_id
PHOGAN15_290,PHOGAN15,290,0000002054,2,Heart-bulbus arteriosus,2015-08-12,F,AFK,YES,AFK13B
PHOGAN15_388,PHOGAN15,388,0000002056,4,Heart-bulbus arteriosus,2015-08-12,F,AFK,YES,AFK13B
PHOGAN15_952,PHOGAN15,952,0000002070,12,Heart-bulbus arteriosus,2015-08-14,F,WNH,YES,WNH13PINKB
PHOGAN15_2183,PHOGAN15,2183,0000002875,46,Heart-bulbus arteriosus,2015-08-24,F,WNH,YES,WNH13PINKB
PHOGAN15_2215,PHOGAN15,2215,0000002876,30,Heart-bulbus arteriosus,2015-08-24,F,WNH,YES,WNH13PINKB
PHOGAN15_2441,PHOGAN15,2441,0000002881,16,Heart-bulbus arteriosus,2015-08-25,F,WNH,YES,WNH13PINKB
PHOGAN15_2780,PHOGAN15,2780,0000002888,19,Heart-bulbus arteriosus,2015-08-26,F,WNH,YES,WNH13PINKB
PHOGAN15_3514,PHOGAN15,3514,0000002903,33,Heart-bulbus arteriosus,2015-08-29,M,AFK,YES,AFK13B
PHOGAN15_3723,PHOGAN15,3723,0000002908,2,Heart-bulbus arteriosus,2015-08-30,M,AFK,YES,AFK13B
PHOGAN15_4018,PHOGAN15,4018,0000002244,9,Heart-bulbus arteriosus,2015-09-01,M,WNH,YES,WNH13PINKB
PHOGAN15_4305,PHOGAN15,4305,0000002250,8,Heart-bulbus arteriosus,2015-09-01,M,WNH,YES,WNH13PINKB
PHOGAN15_4380,PHOGAN15,4380,0000002251,35,Heart-bulbus arteriosus,2015-09-01,F,AFK,YES,AFK13B
PHOGAN15_4592,PHOGAN15,4592,0000002256,7,Heart-bulbus arteriosus,2015-09-02,M,WNH,YES,WNH13PINKB
PHOGAN15_4874,PHOGAN15,4874,0000002262,1,Heart-bulbus arteriosus,2015-09-02,M,AFK,YES,AFK13B
PHOGAN15_5214,PHOGAN15,5214,0000002515,5,Heart-bulbus arteriosus,2015-09-05,M,WNH,YES,WNH13PINKB
PHOGAN15_5704,PHOGAN15,5704,0000002525,15,Heart-bulbus arteriosus,2015-09-05,M,AFK,YES,AFK13B
PHOGAN15_6008,PHOGAN15,6008,0000002797,31,Heart-bulbus arteriosus,2015-09-08,F,WNH,YES,WNH13PINKB
