dna_plate_id,dna_plate_well,silly,fish_id,tissue_type,sex,origin,date,comment,silly_source,sample,dwp_barcode,dwp_well,length_mm_meh,otolith_mark_present,otolith_mark_id,hatchery,intertidal
63213,A1,PCANN15,1,Axillary Process,male,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,B1,PCANN15,2,Axillary Process,male,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,C1,PCANN15,3,Axillary Process,male,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,D1,PCANN15,4,Axillary Process,male,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,E1,PCANN15,5,Axillary Process,male,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,F1,PCANN15,6,Axillary Process,male,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,G1,PCANN15,7,Axillary Process,male,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,H1,PCANN15,8,Axillary Process,male,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,A2,PCANN15,9,Axillary Process,male,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,B2,PCANN15,53,Axillary Process,female,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,C2,PCANN15,54,Axillary Process,female,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,D2,PCANN15,55,Axillary Process,female,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,E2,PCANN15,56,Axillary Process,female,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,F2,PCANN15,57,Axillary Process,female,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,G2,PCANN15,58,Axillary Process,female,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,H2,PCANN15,59,Axillary Process,female,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,A3,PCANN15,60,Axillary Process,female,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,B3,PCANN15,61,Axillary Process,female,hatchery,2015-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,C3,PCANN15,104,Axillary Process,male,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,D3,PCANN15,105,Axillary Process,male,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,E3,PCANN15,106,Axillary Process,male,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,F3,PCANN15,107,Axillary Process,male,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,G3,PCANN15,108,Axillary Process,male,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
