fish,lineage,source_dna_plate_id,source_dna_plate_well,destination_dna_plate_id,destination_dna_plate_well,volume
PCANN15-1,Odd,63213,A1,Purdue_1,A1,50
PDUCK14E-3,Even,63213,C10,Purdue_1,B1,50
PCANN15-56,Odd,63213,E2,Purdue_1,C1,50
PCANN15-112,Odd,63213,C4,Purdue_1,D1,50
PCANN15-159,Odd,63213,A5,Purdue_1,E1,50
PCANN15-162,Odd,63213,D5,Purdue_1,F1,50
PVFDA15-5,Odd,63213,A6,Purdue_1,G1,50
PVFDA15-51,Odd,63213,F6,Purdue_1,H1,50
PVFDA15-54,Odd,63213,A7,Purdue_1,A2,50
PVFDA15-58,Odd,63213,E7,Purdue_1,B2,50
PVFDA15-102,Odd,63213,H7,Purdue_1,C2,50
PVFDA15-104,Odd,63213,B8,Purdue_1,D2,50
PVFDA15-154,Odd,63213,B9,Purdue_1,E2,50
PVFDA15-155,Odd,63213,C9,Purdue_1,F2,50
PVFDA15-159,Odd,63213,G9,Purdue_1,G2,50
PVFDA15-160,Odd,63213,H9,Purdue_1,H2,50
PDUCK14L-37,Even,63214,E1,Purdue_1,A3,50
PDUCK14L-39,Even,63214,G1,Purdue_1,B3,50
PDUCK13-1,Odd,63214,F11,Purdue_1,C3,50
PDUCK13-5,Odd,63214,B12,Purdue_1,D3,50
PDUCK13-12,Odd,63215,B1,Purdue_1,E3,50
PDUCK13-60,Odd,63215,F3,Purdue_1,F3,50
PSTOCK16-1321,Even,63215,C5,Purdue_1,G3,50
PHOGAN16-3348,Even,63216,F12,Purdue_1,H3,50
PHOGAN16-4008,Even,63216,G12,Purdue_1,A4,50
PSTOCK15-2594,Odd,63216,B4,Purdue_1,B4,50
PSTOCK15-2625,Odd,63216,C4,Purdue_1,C4,50
PSTOCK15-2905,Odd,63216,F4,Purdue_1,D4,50
PHOGAN15-3748,Odd,63217,F12,Purdue_1,E4,50
PHOGAN16-10901,Even,63217,F5,Purdue_1,F4,50
PSPRIN14-151,Even,63218,C6,Purdue_1,G4,50
PSPRIN14-154,Even,63218,E6,Purdue_1,H4,50
PSPRIN15-9935,Odd,63219,C1,Purdue_1,A5,50
PSPRIN15-9955,Odd,63219,E1,Purdue_1,B5,50
PAFK14-91,Even,63219,E10,Purdue_1,C5,50
PAFK14-92,Even,63219,F10,Purdue_1,D5,50
PAFK94H-75,Even,63219,A3,Purdue_1,E5,50
PAFK94H-92,Even,63219,B5,Purdue_1,F5,50
PAFK14-50,Even,63219,C6,Purdue_1,G5,50
PAFK14-52,Even,63219,E6,Purdue_1,H5,50
